3 25 44 69 92 105 124 150 172 196 214 232 250 267 282 314 327 358
11 39 41 68 93 120 123 144 161 192 202 222 254 267 285 315 322 357
18 36 44 78 83 109 125 144 167 196 201 225 241 275 286 317 340 350
9 32 43 78 94 112 127 144 169 181 203 228 252 273 285 301 339 346
7 33 43 75 95 105 136 153 165 187 202 231 247 271 286 317 330 342
16 28 53 77 96 113 131 142 180 196 211 224 241 264 296 309 340 348
3 24 45 68 86 110 137 158 167 195 211 221 247 265 288 303 338 350
11 31 49 74 91 106 127 144 173 189 201 232 247 262 282 308 321 343
15 39 41 65 85 103 139 154 168 197 214 228 252 263 286 303 337 343
5 32 47 64 85 112 138 157 173 197 215 224 245 270 298 304 325 358
19 40 60 79 89 110 132 158 170 190 202 229 248 275 300 302 324 345
11 28 43 77 92 112 136 155 168 192 205 223 245 280 282 315 332 353
10 30 59 65 83 109 140 158 174 198 203 240 243 280 294 305 323 360
4 24 53 66 89 108 123 156 170 183 203 226 247 272 282 304 323 343
3 25 51 62 94 113 134 141 177 200 219 227 253 279 293 320 331 357
8 38 58 74 100 115 136 160 174 184 201 231 255 269 281 303 337 356
8 36 45 62 90 104 140 147 180 194 217 236 252 271 282 312 322 359
10 36 50 64 96 111 140 154 171 192 217 237 244 272 287 301 329 355
15 21 51 67 82 101 132 141 172 189 208 239 249 264 285 314 340 345
17 34 54 72 83 102 128 160 171 182 218 234 247 280 296 309 339 343
3 32 47 72 89 101 127 156 169 187 208 237 254 270 295 306 335 341
12 26 51 74 86 101 132 149 163 183 204 228 250 261 290 303 340 360
11 27 47 67 94 110 137 147 179 183 214 240 250 278 283 311 332 351
14 31 46 66 95 110 129 145 171 185 219 236 259 272 286 302 327 341
11 24 57 79 95 106 136 152 168 191 220 230 253 267 299 320 340 351
10 30 49 71 94 103 132 152 171 195 210 234 256 270 297 313 322 359
11 31 58 63 82 117 122 154 178 188 219 238 255 276 299 317 323 341
13 36 41 77 93 114 136 145 178 192 203 240 260 278 294 315 339 349
18 39 46 67 98 106 133 143 169 185 204 225 243 263 295 313 326 347
10 39 52 79 87 110 123 152 169 184 219 233 243 276 284 301 329 355
15 40 60 80 91 118 139 143 162 196 201 225 243 267 286 315 333 352
2 26 59 66 89 105 123 142 164 188 207 223 249 268 284 302 329 360
3 23 51 62 96 102 122 151 164 187 215 236 249 269 290 320 339 347
